time(s),temperature (K),pressure(Bar),volume (m3),velocity (m/s)
1e-05,424.9999999674198,0.7764544881989943,0.00021113320000000003,-0.005344903983251097
2e-05,425.0000210937089,0.776454626411374,0.00021113317291460303,-0.010689807966502193
3.0000000000000004e-05,425.00008306813265,0.7764550317525416,0.00021113309348441526,-0.016034711949753287
4e-05,425.00019970596566,0.7764557946123022,0.00021113294399410567,-0.021379615933004387
5e-05,425.0003561980087,0.7764568181378206,0.00021113274342318263,-0.02672451991625548
6e-05,425.0005525751446,0.776458102540746,0.000211132491729841,-0.03206942389950657
7.000000000000001e-05,425.0007893252584,0.7764596510188784,0.00021113218828742547,-0.03741432788275767
8e-05,425.00106838420146,0.7764614762394092,0.00021113183061384217,-0.04275923186600877
9e-05,425.0013874954266,0.776463563445619,0.00021113142160141313,-0.04810413584925986
0.0001,425.00174421155265,0.7764658966318032,0.0002111309643873191,-0.05344903983251096
0.00011,425.0021523700364,0.7764685663131093,0.0002111304412344541,-0.05879394381576205
0.00012,425.00259582285236,0.7764714668659042,0.0002111298728423267,-0.06413884779901315
0.00013000000000000002,425.003083573987,0.7764746571890919,0.000211129247669819,-0.06948375178226425
0.00014000000000000001,425.00361811614596,0.7764781535907311,0.00021112856252238096,-0.07482865576551534
0.00015000000000000001,425.00418494893904,0.776481861223764,0.00021112783598753335,-0.08017355974876644
0.00016,425.00479960134936,0.7764858816693788,0.00021112704816070226,-0.08551846373201755
0.00017,425.00544607240226,0.7764901102645808,0.0002111262195527996,-0.09086336771526862
0.00018,425.0061407658069,0.7764946543133403,0.00021112532913837733,-0.09620827169851973
0.00019,425.00686776819924,0.7764994097253733,0.0002111243973159275,-0.10155317568177083
0.0002,425.0076424528211,0.7765044770652876,0.00021112340438119839,-0.10689807966502192
0.00021,425.00846664343527,0.7765098682676596,0.00021112234799768755,-0.11224298364827301
0.00022,425.0093222860042,0.77651546523831,0.00021112125130756603,-0.1175878876315241
0.00023,425.01022624183804,0.7765213782780215,0.0002111200926997817,-0.12293279161477519
0.00024,425.01116239605574,0.776527501976856,0.00021111889283069037,-0.1282776955980263
0.00025,425.01214635891387,0.7765339384533383,0.0002111176316932336,-0.1336225995812774
0.00026000000000000003,425.01317981361757,0.7765406987242387,0.00021111630713145155,-0.1389675035645285
0.00027000000000000006,425.01424464277585,0.7765476642785755,0.0002111149423681108,-0.1443124075477796
0.0002800000000000001,425.01535788656815,0.776554946591529,0.00021111351556402533,-0.1496573115310307
0.0002900000000000001,425.0165032206322,0.7765624388805281,0.00021111204764345912,-0.15500221551428184
0.00030000000000000014,425.0176964839906,0.776570244764976,0.00021111051830726904,-0.16034711949753297
0.00031000000000000016,425.0189224038311,0.7765782643401087,0.00021110894713169227,-0.16569202348078405
0.0003200000000000002,425.0201956718885,0.7765865937221526,0.00021110731528845993,-0.17103692746403515
0.0003300000000000002,425.02151851783617,0.7765952475048696,0.00021110561992184992,-0.1763818314472863
0.00034000000000000024,425.0228730648346,0.7766041087463225,0.00021110388394515484,-0.18172673543053738
0.00035000000000000027,425.02427566215584,0.776613284409205,0.00021110208640652786,-0.1870716394137885
0.0003600000000000003,425.0257107911533,0.7766226729774407,0.00021110024719651232,-0.19241654339703962
0.0003700000000000003,425.0271934165432,0.7766323723580352,0.00021109834713831533,-0.1977614473802907
0.00038000000000000035,425.0287256032252,0.7766423960687499,0.00021109638358784467,-0.2031063513635418
0.00039000000000000037,425.0302894010323,0.7766526266838062,0.00021109437955129046,-0.20845125534679293
0.0004000000000000004,425.03190137058715,0.7766631725544106,0.00021109231380749607,-0.213796159330044
0.0004100000000000004,425.03354574938163,0.7766739305654262,0.00021109020655853586,-0.21914106331329514
0.00042000000000000045,425.0352377666376,0.7766850003600372,0.00021108803829014694,-0.22448596729654627
0.0004300000000000005,425.0369793317171,0.7766963944403684,0.0002110858065580434,-0.22983087127979734
0.0004400000000000005,425.0387524247598,0.7767079949197251,0.00021108353445645672,-0.23517577526304845
0.00045000000000000053,425.04057380540985,0.7767199114580898,0.00021108120051091363,-0.2405206792462996
0.00046000000000000056,425.0424274802955,0.776732039425427,0.00021107882521816188,-0.2458655832295507
0.0004700000000000006,425.04432892933914,0.7767444801115878,0.00021107638874437684,-0.2512104872128018
0.0004800000000000006,425.046279915942,0.7767572450656937,0.00021107388883280224,-0.2565553911960529
0.0004900000000000006,425.0482623540662,0.7767702159624066,0.00021107134866097022,-0.261900295179304
0.0005000000000000007,425.05029319004905,0.776783503690565,0.0002110687465171416,-0.2672451991625551
0.0005100000000000007,425.05235621276375,0.7767970021901991,0.0002110661031757083,-0.2725901031458063
0.0005200000000000007,425.0544671388351,0.776810814307093,0.0002110633985014373,-0.2779350071290574
0.0005300000000000007,425.05662759553707,0.7768249507017289,0.00021106063041247824,-0.2832799111123085
0.0005400000000000008,425.05881943405114,0.7768392926313508,0.00021105782216514725,-0.2886248150955596
0.0005500000000000008,425.06105977497793,0.7768539521333765,0.00021105495182654094,-0.2939697190788107
0.0005600000000000008,425.0633322027268,0.7768688218038123,0.00021105204043149296,-0.2993146230620618
0.0005700000000000008,425.06565266235185,0.7768840059914318,0.00021104906755409965,-0.3046595270453129
0.0005800000000000009,425.06800576456004,0.7768994040052781,0.00021104605291366837,-0.310004431028564
0.0005900000000000009,425.07040632962935,0.7769151128371237,0.0002110429775262167,-0.3153493350118151
0.0006000000000000009,425.07285651681224,0.7769311466312614,0.0002110398386290928,-0.3206942389950662
0.000610000000000001,425.0753384110538,0.7769473881642799,0.00021103665917645388,-0.3260391429783173
